Datetime,Tweet
2021-10-29 03:45:00+00:00,"No need honey, people are horrible. Better stay alone, trust me. itb! https://t.co/DpaHj33Ht5"
2021-10-29 03:40:00+00:00,Kalian punya hobi nulis? Punya hobi yg berhubungan dengan desain? Atau suka main tiktok? Join ini ajaa yukk! Itb! https://t.co/2eDu3eztGO
2021-10-29 03:35:00+00:00,cara ngembaliin minat interaksi sm orang lain gmn? itb!
2021-10-28 16:30:00+00:00,"itb! masuk arsi gambar udah sem tua masih aja kaya anak SD, terlalu imajinatif pengumpulan jam 7 pagi. Laptop lemot, mau rendering susah, maket belom dikerjain.. TANGAN GUA TUH 2, NGG BISA MULTITASKING 😭😭😭"
2021-10-28 16:25:00+00:00,six itb! di ios kapan bisa dipake buat absen lagi sih? jujur cape banget harus minjem hp temen buat absen atauga harus buka laptop
2021-10-28 16:15:00+00:00,"plis tolong anak farmasi gw udh bab 5 kali sehari trs tekstur fes**s ga berbentuk mau nanya halodoc udh malem, di rumah cuma ada obat lodia (loperamide) boleh ga kira2? trs perlu berapa tablet? maaf bgt nanya gini malem2 😭😭😭 itb!"
2021-10-28 15:45:00+00:00,"Itb! I really need help. Kepala gua bener2 berisik, berdebat dan gua ga bisa tidur samsek, gua sampe bentur2in kepala ketembok biar ga berisik tpi ga ngaruh."
2021-10-28 15:35:00+00:00,Guys ini jadwal psikolog itb! emang pada kosong atau error ya?
2021-10-28 15:00:00+00:00,"Itb! Please help me gua gatau mau gimana lagi kedepannya gua udah ga sekuat dulu lagi, tantangan kedepannya semakin berat dan selalu lebih susah, gua harap rinnegan gua masih bisa dipake lagi"
2021-10-28 14:30:00+00:00,Pesen ini buat reward abis nugas yay/nay? Itb! https://t.co/5i47s5ybQf
2021-10-28 13:55:00+00:00,"ketemu kucing jalanan ngintilin aku itb! May it helps to reduce your stress, yah with her little paws and cute expression \^_^/ https://t.co/CBWrgEElPo"
2021-10-28 13:00:00+00:00,itb! temen-temen ada yang bisa dicurhatin ga? lg bener-bener nangis dan butuh bgt temen cerita. makasih sebelumnya!
2021-10-28 12:15:00+00:00,kempesin ban dulu baru tegor. mantap satpam itb! nangor
2021-10-28 12:10:00+00:00,itb! kalian ada yang join bimbel tpb? kalo join worth it gaa? cerita donggg sejak uts mulai makin ragu sama ip nanti
2021-10-28 12:05:00+00:00,"yaaa)

Jumat, 29 Oktober 2021
16.00 - 17.00 WIB"
2021-10-28 12:05:00+00:00,"Besok nih warga itb!

Pengen tau syarat mengikuti program FastTrack?
Berapa matakuliah S2 yang harus diambil?
 Buat massa kampus yang ingin tahu lebih lanjut mengenai program fast track, ayo ikuti webinar IG Live : Know More About FastTrack! (di @/Careerology.itb  (cont..) https://t.co/sOdnpJroJo"
2021-10-28 11:45:01+00:00,"udah jam 3.00 sudah subuh, nanti aja

Elaina: kalau begitu berbaring lah di pangkuanku 

Gw: t-tapi

Elaina: udah"" Gak usah malu kita kan sudah menikah kamu lupa ya?

Gw: m-maaf

Elaina:sudah berbaringlah di pangkuan ku

Gue:iya..."
2021-10-28 11:45:01+00:00,"masih duduk di bangku selama 4 hari Untuk mengerjakan uts mu apa kamu tidak mau beristirahat sebentar?

Gw :iya nanti aku bakal istirahat kok tenang saja

Elaina : bodoh.kamu itu bukan Robot beristirahat lah sejenak Aku akan membuat kan mu ramuan 

Gw: gak usah ini kan  (cont..)"
2021-10-28 11:45:00+00:00,"Kisah gw saat uts itb! kemarin

Elaina :sayang...

Gw:iya ada apa? Kamu kok tidak tidur?

Elaina : tidak aku ingin membantu kamu menyelesaikan uts mu agar kita bisa tidur bersama

Gw : uts aku masih numpuk jadi kamu tidur duluan saja.

Elaina :ini sudah subuh dan kamu  (cont..)"
2021-10-28 11:45:00+00:00,"itb! gimana yaa caranya gaul sm temen2 angkatan, soalnya klo nongkrong2 aku ga tahan asep rokok/vape 👉🏻👈🏻"
2021-10-28 11:30:00+00:00,spirit ☺ itb!
2021-10-28 11:30:00+00:00,"Maybe you feelin' hard today, sometimes you feel can't pass this day, but.. You've done your best, hun! It's better to take a rest and thank for yourself to believe in yourself untill today even the matters always come to your way, terimakasih sudah bertahan dan keep  (cont..) https://t.co/31OIywBO54"
2021-10-28 11:04:14+00:00,"🗨️ Replies: 6
📎 Quoteds: 1
🔃 Retweets: 1
❤️ Likes: 0

📊 Score: 21 https://t.co/lcXrtBKL3C"
2021-10-28 11:04:14+00:00,"🗨️ Replies: 6
📎 Quoteds: 0
🔃 Retweets: 0
❤️ Likes: 7

📊 Score: 25 https://t.co/soyPThF5RJ"
2021-10-28 11:04:14+00:00,"🗨️ Replies: 8
📎 Quoteds: 0
🔃 Retweets: 0
❤️ Likes: 1

📊 Score: 25 https://t.co/fxgYj4Xoyf"
2021-10-28 11:04:13+00:00,"🗨️ Replies: 4
📎 Quoteds: 0
🔃 Retweets: 4
❤️ Likes: 124

📊 Score: 140 https://t.co/ngODJwGJlB"
2021-10-28 11:04:13+00:00,"🗨️ Replies: 35
📎 Quoteds: 1
🔃 Retweets: 0
❤️ Likes: 72

📊 Score: 179 https://t.co/oMIA3GGHW6"
2021-10-28 10:30:00+00:00,wdyt ngekos sendiri tapi melihara kucing? itb!
2021-10-28 10:00:00+00:00,Itb! Malas banget jawab “apa kabar”.  Obviously gua gak baik2 aja tapi kalau gua jawab jujur ntar lu yang stess
2021-10-28 09:15:00+00:00,itb! guys uas di jurusan biasanya tiap hari dalam seminggu kayak uts kemaren atau gimana ya? pengen cepet libur hehe
2021-10-28 06:15:00+00:00,Guys kalo kelewat belum bayar cicilan ukt kehadiran ga kecatat ya? Itb! :( apa yg terjadi kalo telat bayar ukt cicilan?
2021-10-28 06:00:00+00:00,masuk itb! cursed or blessed?
2021-10-28 04:00:00+00:00,Lagi keos ya? tau kan apa maksudku ☺ itb! semangat ya!!!!! semoga makin pusing hehe https://t.co/X3pM19W59i
2021-10-27 23:25:00+00:00,"itb! ada rekomendasi pasang behel yang ehem, murah, di bandung tidak? tia!"
2021-10-27 17:55:00+00:00,itb! ada yang tau gak nama font website edun3x? thanks in advance kalo ada yg jawab😁
2021-10-27 17:10:00+00:00,"Ortu berantem terus, akademik anjlok. Saranin psikolog yang enak dong itb!"
2021-10-27 16:25:00+00:00,"itb! mau bikin appointment BK ITB useless banget sih masa selalu ""jadwal konselor tidak ada"" terus harus gimana? kan ga enak kalo tiba2 datang ke kampus."
2021-10-27 16:10:00+00:00,Itb! Kira2 kuliah diluar negri lebih susah dr itb gak ya?
2021-10-27 15:25:00+00:00,"itb! halooo, adakah kakak2 teknik sipil angkatan 2019? aku mau mintaa tolong isi kuesioner aku niihh. yang sekiranya bersedia boleh rep yaa nanti aku dm hihihii terimakasih banyaakk!!! &lt;3"
2021-10-27 15:10:00+00:00,itb! rekomen makanan enak dan murah di sekitaran cisitu indah dong hehe
2021-10-27 15:00:01+00:00,"Itb! Ada yg coba install windows 11? Ini laptop aku udah SSD tp kok lama banget ya🥲 yg lain bagemana, berapa lama installnya"
2021-10-27 14:50:00+00:00,"itb! capek bgt ngerasa sendirian terus.. makin hari makin ngerasa gak sanggup kuliah di itb.

anak Bandung ada gak yang mau temenan? sekadar nemenin chat tiap hari dan nugas bareng."
2021-10-27 12:05:00+00:00,Pengen ke psikolog online tapi gamau ketauan identitas bisa gak? Itb!
2021-10-27 11:40:01+00:00,"Mengakar, Bersama Ada Asa.
Kementerian Edukasi dan Pendampingan Kesehatan Mental (EPKM)
Kemenkoan Kesejahteraan Mahasiswa
Kabinet Akar Asa
KM ITB 2021/2022"
2021-10-27 11:40:01+00:00,"Bandung)

2. Dra. Isriana, Psikolog 
(Bimbingan Konseling ITB)

📌 Moderator:
Elnaya Mahadevi Pillian 
(Dirjen Platform dan Relasi Kementerian EPKM)

🟠 Terbuka untuk mahasiswa/i ITB dan massa umum.
🟠 Tersedia E-certificate

Segera registrasi!!  (cont..)"
2021-10-27 11:40:00+00:00,"mempersembahkan:

🗣Talkshow “CARE”
🔊 The Power of Self-Acceptance
📅 Minggu, 7 November 2021
🕜 13:00 - 15:25 WIB
💻 Zoom Meeting

📌Pembicara:
1. Dr.dr.Veranita Pandia, Sp.KJ., M.Kes. (Kepala Departemen Ilmu Kedokteran Jiwa RS Hasan Sadikin  (cont..)"
2021-10-27 11:40:00+00:00,"[Talkshow Kementerian EPKM x Ditmawa ITB!]

✨Sudahkah aku menerima diriku, kekurangan dan kelebihanku, sepenuh dan setulusnya?✨
__________

Kementerian EPKM Kabinet ‘Akar Asa’ KM ITB! 2021/2022 berkolaborasi dengan Direktorat Kemahasiswaan ITB,  (cont..) https://t.co/dL6Hc8pOMs"
2021-10-27 11:04:06+00:00,"🗨️ Replies: 5
📎 Quoteds: 0
🔃 Retweets: 1
❤️ Likes: 3

📊 Score: 19 https://t.co/gaZcGNwB7K"
