Datetime,Tweet,Sentiment,Spam
2021-10-29 03:45:00+00:00,"No need honey, people are horrible. Better stay alone, trust me. itb! https://t.co/DpaHj33Ht5",0,0
2021-10-29 03:40:00+00:00,Kalian punya hobi nulis? Punya hobi yg berhubungan dengan desain? Atau suka main tiktok? Join ini ajaa yukk! Itb! https://t.co/2eDu3eztGO,0,1
2021-10-29 03:35:00+00:00,cara ngembaliin minat interaksi sm orang lain gmn? itb!,0,0
2021-10-28 16:30:00+00:00,"itb! masuk arsi gambar udah sem tua masih aja kaya anak SD, terlalu imajinatif pengumpulan jam 7 pagi. Laptop lemot, mau rendering susah, maket belom dikerjain.. TANGAN GUA TUH 2, NGG BISA MULTITASKING 😭😭😭",-1,0
2021-10-28 16:25:00+00:00,six itb! di ios kapan bisa dipake buat absen lagi sih? jujur cape banget harus minjem hp temen buat absen atauga harus buka laptop,-1,0
2021-10-28 16:15:00+00:00,"plis tolong anak farmasi gw udh bab 5 kali sehari trs tekstur fes**s ga berbentuk mau nanya halodoc udh malem, di rumah cuma ada obat lodia (loperamide) boleh ga kira2? trs perlu berapa tablet? maaf bgt nanya gini malem2 😭😭😭 itb!",0,0
2021-10-28 15:45:00+00:00,"Itb! I really need help. Kepala gua bener2 berisik, berdebat dan gua ga bisa tidur samsek, gua sampe bentur2in kepala ketembok biar ga berisik tpi ga ngaruh.",-1,0
2021-10-28 15:35:00+00:00,Guys ini jadwal psikolog itb! emang pada kosong atau error ya?,1,0
2021-10-28 15:00:00+00:00,"Itb! Please help me gua gatau mau gimana lagi kedepannya gua udah ga sekuat dulu lagi, tantangan kedepannya semakin berat dan selalu lebih susah, gua harap rinnegan gua masih bisa dipake lagi",-1,0
2021-10-28 14:30:00+00:00,Pesen ini buat reward abis nugas yay/nay? Itb! https://t.co/5i47s5ybQf,0,0
2021-10-28 13:55:00+00:00,"ketemu kucing jalanan ngintilin aku itb! May it helps to reduce your stress, yah with her little paws and cute expression \^_^/ https://t.co/CBWrgEElPo",1,0
2021-10-28 13:00:00+00:00,itb! temen-temen ada yang bisa dicurhatin ga? lg bener-bener nangis dan butuh bgt temen cerita. makasih sebelumnya!,-1,0
2021-10-28 12:15:00+00:00,kempesin ban dulu baru tegor. mantap satpam itb! nangor,-1,0
2021-10-28 12:10:00+00:00,itb! kalian ada yang join bimbel tpb? kalo join worth it gaa? cerita donggg sejak uts mulai makin ragu sama ip nanti,0,0
2021-10-28 12:05:00+00:00,"yaaa)

Jumat, 29 Oktober 2021
16.00 - 17.00 WIB",0,1
2021-10-28 12:05:00+00:00,"Besok nih warga itb!

Pengen tau syarat mengikuti program FastTrack?
Berapa matakuliah S2 yang harus diambil?
 Buat massa kampus yang ingin tahu lebih lanjut mengenai program fast track, ayo ikuti webinar IG Live : Know More About FastTrack! (di @/Careerology.itb  (cont..) https://t.co/sOdnpJroJo",0,1
2021-10-28 11:45:01+00:00,"udah jam 3.00 sudah subuh, nanti aja

Elaina: kalau begitu berbaring lah di pangkuanku 

Gw: t-tapi

Elaina: udah"" Gak usah malu kita kan sudah menikah kamu lupa ya?

Gw: m-maaf

Elaina:sudah berbaringlah di pangkuan ku

Gue:iya...",0,0
